epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7023,1,1,1,1,1,1,1,1,1,1,1,1,1
2,139.622,1,1,1,1,1,1,1,1,1,1,1,1,1
3,206.439,1,1,1,1,1,1,1,1,1,1,1,1,1
4,272.493,1,1,1,1,1,1,1,1,1,1,1,1,1
5,335.852,1,1,1,1,1,1,1,1,1,1,1,1,1
6,397.283,1,1,1,1,1,1,1,1,1,1,1,1,1
7,459.436,1,1,1,1,1,1,1,1,1,1,1,1,1
8,523.634,1,1,1,1,1,1,1,1,1,1,1,1,1
9,587.133,1,1,1,1,1,1,1,1,1,1,1,1,1
10,652.285,1,1,1,1,1,1,1,1,1,1,1,1,1
11,716.838,1,1,1,1,1,1,1,1,1,1,1,1,1
12,779.344,1,1,1,1,1,1,1,1,1,1,1,1,1
13,845.881,1,1,1,1,1,1,1,1,1,1,1,1,1
14,897.144,1,1,1,1,1,1,1,1,1,1,1,1,1
15,947.15,1,1,1,1,1,1,1,1,1,1,1,1,1
16,998.792,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1049.76,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1099.62,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1150.37,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1200.86,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1253.38,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1304.33,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1358.96,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1415.82,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1469.53,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1527.18,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1591.66,1,1,1,1,1,1,1,1,1,1,1,1,1
28,1643.02,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1695.38,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1748.09,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1800.01,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1851.33,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1902.73,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1953.28,1,1,1,1,1,1,1,1,1,1,1,1,1
35,2003.6,1,1,1,1,1,1,1,1,1,1,1,1,1
36,2054.46,1,1,1,1,1,1,1,1,1,1,1,1,1
37,2104.23,1,1,1,1,1,1,1,1,1,1,1,1,1
38,2154.45,1,1,1,1,1,1,1,1,1,1,1,1,1
39,2204.56,1,1,1,1,1,1,1,1,1,1,1,1,1
40,2253.91,1,1,1,1,1,1,1,1,1,1,1,1,1
41,2304.97,1,1,1,1,1,1,1,1,1,1,1,1,1
42,2354.39,1,1,1,1,1,1,1,1,1,1,1,1,1
43,2403.42,1,1,1,1,1,1,1,1,1,1,1,1,1
44,2453.63,1,1,1,1,1,1,1,1,1,1,1,1,1
45,2503.03,1,1,1,1,1,1,1,1,1,1,1,1,1
46,2551.53,1,1,1,1,1,1,1,1,1,1,1,1,1
47,2601.4,1,1,1,1,1,1,1,1,1,1,1,1,1
48,2651.86,1,1,1,1,1,1,1,1,1,1,1,1,1
49,2701.95,1,1,1,1,1,1,1,1,1,1,1,1,1
50,2751.54,1,1,1,1,1,1,1,1,1,1,1,1,1
