epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2254,1.57353,3.19888,1.97209,0.48275,0.5,0.39299,0.25255,1.51851,3.68453,2.33498,4e-05,4e-05,4e-05
2,96.8252,1.63345,3.01985,2.14246,0.88608,0.3,0.47703,0.34535,1.10072,10.4985,1.91875,9.802e-05,9.802e-05,9.802e-05
3,143.963,1.5048,2.56984,1.92667,0.33369,0.4,0.38218,0.21017,1.49161,14.7216,2.29829,0.000153664,0.000153664,0.000153664
4,190.469,1.39369,2.39214,1.80434,1,0.67383,0.75696,0.39618,1.56386,5.77065,2.22322,0.000206932,0.000206932,0.000206932
5,238.825,1.28619,1.96855,1.6564,0.78787,0.6,0.6627,0.31695,1.68271,4.03427,2.43269,0.000257824,0.000257824,0.000257824
6,285.205,1.27075,2.014,1.72586,0.36551,0.5,0.28774,0.16193,1.72117,5.99946,2.53933,0.00030634,0.00030634,0.00030634
7,333.628,1.36788,2.06548,1.80768,0.29722,0.4,0.27434,0.09185,2.02613,4.64389,3.35261,0.00035248,0.00035248,0.00035248
8,379.151,1.39317,1.50508,1.64852,0.30278,0.6,0.37303,0.16051,1.97584,2.88869,3.02963,0.000396244,0.000396244,0.000396244
9,425.509,1.2384,1.57704,1.58087,0.42567,0.5,0.41483,0.22121,1.71009,3.22621,2.31585,0.000437632,0.000437632,0.000437632
10,471.861,1.27361,1.7063,1.7217,0.3658,0.5,0.35683,0.2085,1.96527,3.41688,2.62921,0.000476644,0.000476644,0.000476644
11,517.557,1.2201,1.37966,1.64058,0.61052,0.5,0.53376,0.15384,2.53997,2.52559,3.84417,0.00051328,0.00051328,0.00051328
12,563.588,1.23518,1.43615,1.56683,0.59399,0.5,0.58591,0.22386,2.34226,2.45257,3.48742,0.00054754,0.00054754,0.00054754
13,609.77,1.15074,1.47406,1.52989,0.96501,0.4,0.56665,0.23332,1.89193,2.46173,2.85738,0.000579424,0.000579424,0.000579424
